file name,Hostname Verified,auth in protected space,Logging Enabled (Log.e calls),Logging Enabled (Logger calls),Snapshots Allowed,Outdated Software Versions,Backups Allowed,Cleartext Allowed,Debugging Enabled,hardcoded *.pem files
Ear Spy_3.2.0.1.apk,1,1,0,0,1,1,0,0
Instagram Lite_382.0.0.11.115_Apkpure.apk,0,0,1,0,0,1,0,0
quick-return-header-demo.apk,0,0,1,0,1,1,1,0
range-bar-demo.apk,0,0,1,0,1,1,1,0
trinea-android-demo.apk,0,0,1,0,1,1,0,0
miui-note-demo.apk,0,0,1,0,1,1,1,0
Brick Classic - Brick Game_1.22_Apkpure.apk,0,0,1,1,1,1,0,0
MicSpeaker_2.0.03.apk,0,0,1,0,1,1,0,0
indexable-listview.apk,0,0,1,0,1,1,1,0
Micro Battles_1.02.2_Apkpure.apk,0,0,1,0,1,1,0,0
1MB_1.0_Apkpure.apk,0,0,1,0,1,1,0,0
WiFi Speed Bypass.apk,0,0,1,0,1,1,0,0
TrineaAndroidDemo.apk,0,0,1,0,1,1,0,0
Thumbnail Maker v11.8.46 Modded by Mixroot.apk,0,0,1,0,1,1,0,0
Archery Black - 1 MB Game_1.0.98_Apkpure.apk,0,0,1,0,1,1,0,0
Hoplite_2.8.28_Apkpure.apk,0,0,1,0,1,1,0,0
touch-gallery-demo.apk,0,0,1,0,0,1,1,0
color-art-demo.apk,0,0,1,0,1,1,1,0
City Block_1.27_Apkpure.apk,0,0,1,0,1,1,0,0
SuperVPN Fast VPN Client_2.8.5_Apkpure.apk,0,0,1,0,1,1,0,0
Compass - Direction Compass_2.2.5_Apkpure.apk,0,0,1,0,1,1,0,0
SD_Maid_SE_v0.7.10-beta0_Pro_Mod.apk,0,0,1,0,1,1,0,0
ZArchiver_1.0.8_Apkpure.apk,0,0,1,0,1,1,0,0
Device_Info_HW_-v5.12.0-Mod.apk,0,0,1,0,1,1,0,0
QuickEdit_-v1.9.11_203-Mod.apk,0,0,1,0,0,1,0,0
Traffic Rush_1.46.2_Apkpure.apk,0,0,1,0,1,1,0,0
progress-wheel-demo.apk,0,0,1,0,1,1,1,0
Pool Billiards offline_1.2.6_Apkpure.apk,0,0,1,0,1,1,0,0
SetEdit SettingsDatabaseEditor_2023.06.09_Apkpure.apk,0,0,1,0,1,1,0,0
Tile Match_1.44_Apkpure.apk,0,0,1,0,1,1,0,0
IndexableListView.apk,0,0,1,0,1,1,1,0
staggered-gridview-demo.apk,0,0,1,0,1,1,1,0
Castle Smasher_2.13.2_Apkpure.apk,0,0,1,0,1,1,0,0
Weather forecast_82.01_Apkpure.apk,0,0,1,0,1,1,0,0
gesture-imageview-demo.apk,0,0,1,0,1,1,1,0
Chess_2.8.2_Apkpure.apk,0,0,1,0,1,1,0,0
OwnVoice_0.3.4.apk,0,0,1,0,1,1,0,0
Lazy_VPN.apk,0,0,1,0,1,1,0,0
100 in 1 Games_4.1_Apkpure.apk,0,0,1,0,1,1,0,0
imageviewex-demo.apk,0,0,1,0,1,1,1,0
Fonts Keyboard_1.5.7.apk,0,0,1,0,1,1,0,0
universal-imageloader-demo.apk,0,0,1,0,1,1,1,0
Network_Signal_Info_Pro-v5.74.01_build_259.apk,0,0,1,0,1,1,0,0
Spotify_Lite Premium_v1.9.0.apk,0,0,1,0,1,1,0,0
cards-ui-demo.apk,1,0,1,0,1,1,1,0
photo-processing.apk,0,0,1,0,1,1,1,0
Football Black_2.0.6_Apkpure.apk,0,0,1,0,1,1,0,0
Facebook Lite_383.0.0.0.4_Apkpure.apk,0,0,1,0,0,1,0,0
pull-to-refreshview-demo.apk,0,0,1,0,1,1,1,0
listview-animations-demo.apk,0,0,1,0,1,1,0,0
Chess for Android_6.8.2_Apkpure.apk,0,0,1,0,0,1,0,0
horizontal-listview-demo.apk,0,0,1,0,1,1,1,0
pull-to-refresh-listview-demo.apk,0,0,1,0,1,1,1,0
3D Parallax-@SMALLAPK.apk,0,0,1,0,1,1,0,0
GC Auto Clicker v1.9.52 Mod.apk,0,0,1,0,1,1,0,0
Sound Booster_12.apk,0,0,1,0,1,1,0,0
ui-tableview-demo.apk,0,0,1,0,1,1,1,0
Fast Wallet.apk,0,0,1,0,1,1,0,0
TikTok _Plugin v2.7.9.apk,0,0,1,0,0,1,0,0
DivaApplication.apk,0,0,1,0,1,1,1,0
wordpress-check-new-comment-regularly.apk,0,0,1,0,0,1,1,0
slide-expandable-listView-demo.apk,0,0,1,0,1,1,1,0
satellite-menu-demo.apk,0,0,1,0,1,1,0,0
android-viewbadger.apk,0,0,1,0,1,1,1,0
Call Recorder Cube ACR PRO v2.3.232 Mod AOSP No Google.apk,0,0,1,0,1,1,0,0
Brain Games_8.1_Apkpure.apk,0,0,1,0,1,1,0,0
times-square-demo.apk,0,0,1,0,1,1,1,0
My Farm_631_Apkpure.apk,0,0,1,0,1,1,0,0
Data Recovery v1.67 modded by Mixroot.apk,0,0,1,0,1,1,0,0
styled-dialogs-demo.apk,0,0,1,0,1,1,1,0
4K Wallpapers v4.1.5 Pro.apk,0,0,1,0,1,1,0,0
trinea-shortcut-viewer.apk,0,0,1,0,1,1,0,0
draggable-grid-viewpager-demo.apk,0,0,1,0,1,1,1,0
StorageSpace-Premium-26.2.0.apk,0,0,1,0,1,1,0,0
